Ticker,Date,Close,Shares Outstanding,Report Date,total debt,long term debt,fiscal year,beta,coe,weird tax rate,cod,market cap,Wacc
A,2018-10-31,64.79,318000000.0,2018-10-31,3970000000,1799000000.0,2018,1.12,0.08660000000000001,0.6659619450317125,0.00736272040302267,20603220000.000004,0.07354878815230564
AA,2018-12-31,26.58,184770249.0,2018-12-31,8544000000,1801000000.0,2018,2.28,0.15039999999999998,0.4546023794614903,0.011280430711610487,4911193218.42,0.06055532959087788
AAL,2018-12-31,32.11,460610870.0,2018-12-31,60749000000,21179000000.0,2018,1.73,0.12015,0.25053078556263275,0.012198060873430016,14790215035.699999,0.03127448617811101
AAN,2018-12-31,42.05,68594784.0,2018-12-31,1065984000,424752000.0,2018,1.62,0.11410000000000001,0.2220186832881318,0.011847213466618637,2884410667.2,0.0858365171821838
AAOI,2018-12-31,15.43,19810000.0,2018-12-31,137746000,60328000.0,2018,1.98,0.1339,0.7805277152791982,0.004725799660244218,305668300.0,0.09346393151957434
AAON,2018-12-31,35.06,51991242.0,2018-12-31,60698000,,2018,0.74,0.06570000000000001,0.2389567207136345,-0.0025509901479455668,1822812944.5200002,0.06351780816726424
AAP,2018-12-31,157.46,72460000.0,2018-12-31,5489835000,1045720000.0,2018,1.32,0.09759999999999999,0.23667480693868137,0.00814314455716793,11409551600.0,0.06798405375021126
AAWW,2018-12-31,42.19,25590293.0,2018-12-31,3466828000,2205005000.0,2018,1.69,0.11795,0.1251785864358349,0.025674109012619028,1079654461.6699998,0.04347566370714034
ABBV,2018-12-31,92.19,1479000000.0,2018-12-31,67798000000,35002000000.0,2018,0.82,0.0701,-0.09428516451799118,0.013330186731172011,136349010000.0,0.05031685744993277
ABG,2018-12-31,66.66,19601597.0,2018-12-31,2222200000,866500000.0,2018,1.62,0.11410000000000001,0.25266903914590744,0.030608856088560888,1306642456.02,0.05747576344358415
ABM,2018-10-31,30.75,66004361.0,2018-10-31,2172800000,902000000.0,2018,1.27,0.09484999999999999,-0.09350057012542767,0.019670011045655376,2029634100.75,0.05384370082466128
ABT,2018-12-31,72.33,1971189465.0,2018-12-31,36451000000,19359000000.0,2018,0.96,0.07780000000000001,0.18760877131917852,0.01562618309511399,142576134003.44998,0.06447290456677912
AC,2018-12-31,35.23,22600000.0,2018-12-31,38385000,,2018,1.31,0.09705,0.16668360900945378,-0.27006330597889805,796197999.9999999,0.0827737633045485
ACAD,2018-12-31,16.17,143853597.0,2018-12-31,61123000,,2018,1.8,0.124,-0.005148891512527953,-0.06912160725095301,2326112663.4900002,0.11942695387516118
ACCO,2018-12-31,6.78,102748700.0,2018-12-31,1996700000,843000000.0,2018,2.17,0.14435,0.324255858138062,0.01456002403966545,696636186.0,0.045863681664098065
ACGL,2018-12-31,26.72,402454834.0,2018-12-31,21780650000,4661428000.0,2018,0.75,0.06625,0.13537038532999435,0.0043700422163709535,10753593164.48,0.0242089421771674
